theta_deg	R_normalised
1.73225	8.04825e-05
1.73375	8.2125e-05
1.73525	9.855e-05
1.73675	7.71975e-05
1.73825	9.03375e-05
1.73975	6.40575e-05
1.74125	7.5555e-05
1.74275	7.71975e-05
1.74425	7.39125e-05
1.74575	4.43475e-05
1.74725	3.942e-05
1.74875	2.79225e-05
1.75025	3.6135e-05
1.75175	2.9565e-05
1.75325	2.13525e-05
1.75475	2.2995e-05
1.75625	2.46375e-05
1.75775	6.57e-06
1.75925	1.971e-05
1.76075	1.6425e-05
1.76225	1.6425e-05
1.76375	1.14975e-05
1.76525	2.2995e-05
1.76675	2.9565e-05
1.76825	3.285e-05
1.76975	4.10625e-05
1.77125	4.10625e-05
1.77275	3.44925e-05
1.77425	3.44925e-05
1.77575	4.2705e-05
1.77725	4.10625e-05
1.77875	4.76325e-05
1.78025	2.9565e-05
1.78175	2.79225e-05
1.78325	3.77775e-05
1.78475	2.79225e-05
1.78625	2.79225e-05
1.78775	2.79225e-05
1.78925	1.6425e-05
1.79075	1.314e-05
1.79225	1.14975e-05
1.79375	6.57e-06
1.79525	8.2125e-06
1.79675	9.855e-06
1.79825	6.57e-06
1.79975	9.855e-06
1.80125	3.285e-06
1.80275	8.2125e-06
1.80425	9.855e-06
1.80575	1.47825e-05
1.80725	1.14975e-05
1.80875	9.855e-06
1.81025	8.2125e-06
1.81175	2.46375e-05
1.81325	1.971e-05
1.81475	1.80675e-05
1.81625	9.855e-06
1.81775	1.314e-05
1.81925	1.80675e-05
1.82075	9.855e-06
1.82225	1.6425e-05
1.82375	1.314e-05
1.82525	1.314e-05
1.82675	1.47825e-05
1.82825	9.855e-06
1.82975	6.57e-06
1.83125	1.14975e-05
1.83275	1.14975e-05
1.83425	1.6425e-06
1.83575	4.9275e-06
1.83725	3.285e-06
1.83875	4.9275e-06
1.84025	4.9275e-06
1.84175	1.6425e-06
1.84325	1.314e-05
1.84475	8.2125e-06
1.84625	8.2125e-06
1.84775	1.47825e-05
1.84925	1.14975e-05
1.85075	1.80675e-05
1.85225	4.9275e-06
1.85375	9.855e-06
1.85525	4.9275e-06
1.85675	1.6425e-05
1.85825	8.2125e-06
1.85975	4.9275e-06
1.86125	1.314e-05
1.86275	4.9275e-06
1.86425	8.2125e-06
1.86575	4.9275e-06
1.86725	8.2125e-06
1.86875	4.9275e-06
1.87025	8.2125e-06
1.87175	9.855e-06
1.87325	4.9275e-06
1.87475	1.6425e-06
1.87625	3.285e-06
1.87775	3.285e-06
1.87925	1.6425e-06
1.88075	1.6425e-06
